country,sector,year,value
Spain,Residential,2021,37.10
Spain,Residential,2022,35.40
Spain,Residential,2023,17.75
UK,Domestic aviation,2018,0.00
UK,Domestic aviation,2019,2.41
UK,Domestic aviation,2020,1.04
UK,Domestic aviation,2021,1.27
UK,Domestic aviation,2022,1.79
UK,Domestic aviation,2023,0.77
UK,Ground transport,2018,0.24
UK,Ground transport,2019,113.80
UK,Ground transport,2020,104.27
UK,Ground transport,2021,115.30
UK,Ground transport,2022,119.13
UK,Ground transport,2023,49.30
UK,Industry,2018,0.09
UK,Industry,2019,61.24
UK,Industry,2020,61.29
UK,Industry,2021,67.10
UK,Industry,2022,64.04
UK,Industry,2023,26.22
UK,International aviation,2018,0.08
UK,International aviation,2019,36.13
UK,International aviation,2020,14.77
UK,International aviation,2021,14.56
UK,International aviation,2022,30.19
UK,International aviation,2023,12.91
UK,Power,2018,0.19
UK,Power,2019,76.33
UK,Power,2020,62.96
UK,Power,2021,70.94
UK,Power,2022,72.82
UK,Power,2023,24.31
UK,Residential,2018,0.30
UK,Residential,2019,90.24
UK,Residential,2020,88.50
UK,Residential,2021,90.71
UK,Residential,2022,86.20
UK,Residential,2023,43.86
US,Domestic aviation,2018,0.38
US,Domestic aviation,2019,173.75
US,Domestic aviation,2020,120.83
US,Domestic aviation,2021,158.99
US,Domestic aviation,2022,155.04
US,Domestic aviation,2023,64.16
US,Ground transport,2018,3.42
US,Ground transport,2019,1645.62
US,Ground transport,2020,1486.62
US,Ground transport,2021,1592.55
US,Ground transport,2022,1554.93
US,Ground transport,2023,639.51
US,Industry,2018,2.76
US,Industry,2019,999.46
US,Industry,2020,953.36
US,Industry,2021,976.38
US,Industry,2022,1024.87
US,Industry,2023,423.58
US,International aviation,2018,0.19
US,International aviation,2019,81.64
US,International aviation,2020,44.12
US,International aviation,2021,54.00
US,International aviation,2022,65.96
US,International aviation,2023,28.33
US,Power,2018,3.97
US,Power,2019,1605.10
US,Power,2020,1437.00
US,Power,2021,1534.95
US,Power,2022,1642.93
US,Power,2023,568.13
